PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SortKey,GameID,PGN
tewjc,r5k1/pp3p1p/2b2qp1/3pr3/8/4P2P/R1PN1PP1/Q3K2R w K - 0 19,a2a7 e5e3 f2e3 f6a1 a7a1 a8a1,1493,76,94,18768,crushing discoveredAttack long middlegame xRayAttack,https://lichess.org/SLbfzQtP#36,Polish_Opening Polish_Opening_Other_variations,1764192,SLbfzQtP,1. b4 d5 2. Bb2 Nf6 3. b5 g6 4. e3 Bg7 5. Be2 O-O 6. d4 c6 7. Nd2 cxb5 8. a4 bxa4 9. Rxa4 Bd7 10. Ra2 Nc6 11. Ngf3 e5 12. dxe5 Ng4 13. Qa1 Re8 14. h3 Ngxe5 15. Nxe5 Bxe5 16. Bxe5 Rxe5 17. Bb5 Qf6 18. Bxc6 Bxc6 *
0kDWS,1r6/1PN5/3p4/4kpp1/1R6/P3n3/K1P5/8 b - - 0 49,e3d5 b4b5 b8b7 b5b7,1947,75,95,13691,advantage endgame pin short,https://lichess.org/q2SFqfYD/black#97,,1300645,q2SFqfYD,1. e4 g6 2. Nf3 Bg7 3. d4 d6 4. h3 Nf6 5. Nc3 O-O 6. Be3 Nbd7 7. Qd2 c5 8. O-O-O cxd4 9. Nxd4 Ne5 10. f4 Nc6 11. g4 Nxd4 12. Bxd4 a6 13. f5 Qa5 14. g5 Nd7 15. Bxg7 Kxg7 16. fxg6 hxg6 17. h4 Ne5 18. Be2 Bg4 19. Bxg4 Nxg4 20. h5 b5 21. h6+ Kh7 22. Kb1 Rac8 23. Qd4 Rg8 24. Rdf1 Ne5 25. Nd5 Rce8 26. Rf2 Qa4 27. Qxa4 bxa4 28. Rhf1 Rgf8 29. Nc7 Rc8 30. Nxa6 Rc4 31. a3 Rxe4 32. Nb4 Rg4 33. Nd5 Rxg5 34. Nxe7 Kxh6 35. Rh1+ Kg7 36. Rh4 Rg4 37. Rxg4 Nxg4 38. Rf4 f5 39. Rxa4 Re8 40. Nd5 Re1+ 41. Ka2 Kf7 42. b4 Ke6 43. Nf4+ Kf6 44. b5 Re8 45. Rb4 g5 46. Nd5+ Ke5 47. Nc7 Rb8 48. b6 Ne3 49. b7 *
f2p5F,5r2/p3R2p/4Q1p1/3B2k1/2p2b2/2P2P2/P5P1/1q3K2 w - - 1 39,e6e1 b1d3 f1f2 d3d5,1385,75,96,16934,advantage endgame fork short,https://lichess.org/BTADpsgd#76,,1625664,BTADpsgd,1. d4 d5 2. Nf3 Nc6 3. Bf4 Nf6 4. e3 e6 5. Bb5 Bd7 6. O-O Be7 7. Nbd2 O-O 8. Bd3 Bc8 9. c3 Nh5 10. Be5 Nxe5 11. dxe5 g6 12. Qc2 f5 13. exf6 Nxf6 14. Rad1 c5 15. e4 c4 16. Be2 b5 17. e5 Nd7 18. b3 Qc7 19. bxc4 bxc4 20. Nd4 Nxe5 21. N2f3 Nxf3+ 22. Bxf3 Rb8 23. Rfe1 e5 24. Bxd5+ Kg7 25. Nf3 Bg4 26. Nxe5 Bxd1 27. Qxd1 Bd6 28. Nf3 Rxf3 29. Qxf3 Bxh2+ 30. Kf1 Rf8 31. Qe4 Bg3 32. Qd4+ Kh6 33. Re2 Qb8 34. Qe3+ Bf4 35. Qh3+ Kg7 36. Re7+ Kf6 37. Qe6+ Kg5 38. f3 Qb1+ *
LDIfb,rnbqkb1r/pp2pp1p/3p1np1/2p5/4P3/2P2N1P/PP1PBPP1/RNBQK2R b KQkq - 2 5,f6e4 d1a4 b8c6 a4e4,1472,75,95,21527,advantage fork opening short,https://lichess.org/hnuvOm1w/black#9,Sicilian_Defense Sicilian_Defense_Modern_Variations,2045065,hnuvOm1w,1. e4 c5 2. Nf3 d6 3. h3 g6 4. c3 Nf6 5. Be2 *
mJDcO,5rk1/p1Q3pp/8/3p4/3q1r2/8/P1P3PP/R4R1K w - - 0 21,f1f4 d4a1 f4f1 a1f1,1321,76,95,17352,endgame hangingPiece mate mateIn2 short,https://lichess.org/oAkUCwh7#40,,1648440,oAkUCwh7,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qf6 5. Nxc6 Qxc6 6. Nc3 Bb4 7. Qf3 Nf6 8. Bd3 O-O 9. O-O Bxc3 10. bxc3 Qxc3 11. Bg5 d6 12. Qg3 Be6 13. Bxf6 Qxf6 14. f4 Qd4+ 15. Kh1 f5 16. exf5 Bxf5 17. Bxf5 Rxf5 18. Qb3+ d5 19. Qxb7 Raf8 20. Qxc7 Rxf4 *
y0ld9,8/R7/8/3rk3/2p1N3/5KP1/5P1P/5b2 w - - 2 44,a7a1 d5d3 f3g4 f1e2 g4g5 e5e4,1783,78,95,14370,advantage endgame long,https://lichess.org/sopubPww#86,,1365150,sopubPww,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 c5 5. Ne2 b6 6. g3 Bb7 7. d5 exd5 8. Bg2 O-O 9. cxd5 d6 10. O-O Nbd7 11. a3 Bxc3 12. Nxc3 Ba6 13. Re1 Ne5 14. e4 Nd3 15. Re3 Nxc1 16. Rxc1 Ng4 17. Qxg4 Re8 18. b4 cxb4 19. axb4 Rc8 20. Ree1 Rc4 21. b5 Bc8 22. Qe2 Qc7 23. Na2 Rc5 24. Rxc5 bxc5 25. Rc1 Qa5 26. Nc3 f5 27. Bh3 Qa3 28. Qc2 fxe4 29. Nxe4 Bxh3 30. Ng5 Bd7 31. Qxh7+ Kf8 32. Qh8+ Ke7 33. Qxg7+ Kd8 34. Qa1 Qxa1 35. Rxa1 Bxb5 36. Ne6+ Ke7 37. Rxa7+ Kf6 38. Nc7 Re1+ 39. Kg2 Bf1+ 40. Kf3 c4 41. Nb5 Re5 42. Nxd6 Rxd5 43. Ne4+ Ke5 *
CIamA,rnbqk1nr/ppp2ppp/8/4p3/1b6/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq - 0 6,g8f6 d1a4 b8c6 g2c6 b7c6 a4b4,1523,73,97,12865,advantage fork long opening,https://lichess.org/ySU6NzBT/black#11,English_Opening English_Opening_Anglo-Scandinavian_Defense,1247905,ySU6NzBT,1. c4 d5 2. cxd5 Qxd5 3. Nc3 Qd8 4. g3 e5 5. Bg2 Bb4 6. e3 *
u7Cp7,rn2k2r/ppp1ppb1/7p/3pN1p1/q2P4/1P2P1P1/P1PNQPP1/R3K2R b KQkq - 0 12,a4a3 e2b5 c7c6 b5b7,1480,77,95,21410,crushing middlegame short,https://lichess.org/chCVVcR9/black#23,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack,2033950,chCVVcR9,1. d4 d5 2. Bg5 Nf6 3. e3 Ne4 4. Bh4 g5 5. Bg3 Nxg3 6. hxg3 Bg7 7. Nf3 Bg4 8. Be2 h6 9. Nbd2 Qd7 10. Ne5 Bxe2 11. Qxe2 Qa4 12. b3 *
CAYyS,3r4/2p1pp1p/ppk5/2p1N3/4bP2/1PK3P1/P1P4P/8 b - - 2 24,c6b5 a2a4 b5a5 e5c4,1515,76,96,19526,endgame mate mateIn2 short,https://lichess.org/ZP2HPZnL/black#47,,1874496,ZP2HPZnL,1. g3 b6 2. Bg2 Nc6 3. Bxc6 dxc6 4. b3 c5 5. Bb2 Bb7 6. f3 Nf6 7. Bxf6 gxf6 8. e4 Bh6 9. Nc3 Qd4 10. Nge2 Qd7 11. d3 O-O-O 12. f4 f5 13. Qd2 fxe4 14. O-O-O exd3 15. Qxd3 Bxh1 16. Qxd7+ Rxd7 17. Rxd7 Kxd7 18. Nb5 a6 19. Nbc3 Rd8 20. Kb2 Kc6 21. Nc1 Bg7 22. Nd3 Bxc3+ 23. Kxc3 Be4 24. Ne5+ *
NtFPE,4kbnr/3b1ppp/p7/qp1pPB2/5BQ1/8/1P3PPP/2R3K1 b k - 1 18,a5d8 f5d7 d8d7 c1c8,1314,76,93,14230,advantage middlegame short,https://lichess.org/idi5c8A6/black#35,French_Defense French_Defense_Advance_Variation,1323390,idi5c8A6,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O cxd4 8. cxd4 Nxd4 9. Nxd4 Qxd4 10. Nc3 Qb6 11. a4 a6 12. a5 Qc7 13. Bf4 Rc8 14. Rc1 Qxa5 15. Qg4 b5 16. Nxd5 Rxc1 17. Rxc1 exd5 18. Bf5 *
